ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
18216,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,0.365380133
19129,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,0.224584725
19129,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.370972649
19129,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,0.529398135
19872,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,0.725778896
21054,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.053533137
21054,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.492781967
21487,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,1.403577113
21494,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.154138062
21497,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,0.359794938
21498,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,0.972899439
21592,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.710554611
22689,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,0.107604793
2708,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,2.818451209
5181,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.381226136
5181,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.064221221
5181,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,0.106445255
5422,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.524195865
5444,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,0.733009579
5686,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,0.735053478
9534,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.557944448
10230,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,0.36662909
11458,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,0.129991146
11458,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,2.066485661
13875,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,0.280266952
13875,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,0.842313857
13875,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,0.086829798
13877,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.005829544
13903,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,0.192913443
13903,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,0.78058366
13903,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,-0.266222131
14000,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,0.033869867
14000,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,0.425933243
146,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.111646959
146,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,0.375016348
146,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,0.072200733
15555,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,3.005132827
15555,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,1.962193694
16322,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,0.460939785
16893,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,0.914909331
17529,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.16593093
18083,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,0.637596201
18208,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,0.038978053
18208,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,0.795640524
18209,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.028011663
18216,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,0.704411929
19129,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,0.125868651
19129,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,0.377682751
19129,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,1.117885227
19872,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,0.937320999
21054,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.058955813
21054,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,0.550328181
21487,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,1.21851675
21494,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,0.02775584
21497,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,0.652005567
21498,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,1.708883962
21592,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,0.54003744
22689,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,0.222805195
2708,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,2.825853769
5181,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.213227457
5181,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,0.065763163
5181,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,-0.086042633
5422,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,0.331427297
5444,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,0.811368739
5686,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,0.796469991
9534,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,0.361279745
10230,20210125,Day 3,1,4,A. baumannii,100ng/mL LPS,0.352451265
11458,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,0.149189779
11458,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,1.142306255
13875,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,0.264759178
13875,20201119,Day 3,2,4,A. baumannii,100ng/mL LPS,0.796773913
13875,20201207,Day 3,3,4,A. baumannii,100ng/mL LPS,0.110540515
13877,20210310,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.12592593
13903,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,0.220921135
13903,20201119,Day 3,2,4,A. baumannii,100ng/mL LPS,0.61611513
13903,20201207,Day 3,3,4,A. baumannii,100ng/mL LPS,-0.096169758
14000,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,0.495981614
14000,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,0.398189153
146,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.018935255
146,20201119,Day 3,2,4,A. baumannii,100ng/mL LPS,0.426708377
146,20201207,Day 3,3,4,A. baumannii,100ng/mL LPS,0.108151385
15555,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,2.939070675
15555,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,2.652363567
16322,20210125,Day 3,1,4,A. baumannii,100ng/mL LPS,0.451939601
16893,20210210,Day 3,1,4,A. baumannii,100ng/mL LPS,1.08535469
17529,20210311,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.190103541
18083,20210310,Day 3,1,4,A. baumannii,100ng/mL LPS,0.418071686
18208,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,0.079893447
18208,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,0.801847285
18209,20210310,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.009864408
18216,20210210,Day 3,1,4,A. baumannii,100ng/mL LPS,0.604827187
19129,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,0.2588649
19129,20201119,Day 3,2,4,A. baumannii,100ng/mL LPS,0.55108346
19129,20201207,Day 3,3,4,A. baumannii,100ng/mL LPS,0.592205945
