ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
19872,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.026414143
21054,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.080779339
21054,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.084576659
21487,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.142395985
21494,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.139057337
21497,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.243045289
21498,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.414717418
21592,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.201543736
22689,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.040230561
2708,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.236089189
5181,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.127482548
5181,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.460082242
5181,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,-0.026031955
5422,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.096120321
5444,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.093437399
5686,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.008433168
9534,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.034309548
10230,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.030639958
11458,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.419928616
11458,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,0.087150176
13875,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.011465123
13875,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.114916578
13875,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,-0.077144292
13877,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.076002007
13903,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.104815377
13903,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.235662199
13903,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,0.02694522
