ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC
11458,20210114,Day 3,1,4,P. aeruginosa,100ng/mL LPS,6622.333333
11458,20210114,Day 3,1,1,P. aeruginosa,0.1ng/mL LTA,6582
11458,20210114,Day 3,1,2,P. aeruginosa,0.1ng/mL LTA,5991.333333
11458,20210114,Day 3,1,3,P. aeruginosa,0.1ng/mL LTA,6366.333333
11458,20210114,Day 3,1,4,P. aeruginosa,0.1ng/mL LTA,4909.333333
11458,20210114,Day 3,1,1,P. aeruginosa,100ng/mL LTA,7175.666667
11458,20210114,Day 3,1,2,P. aeruginosa,100ng/mL LTA,8287.333333
11458,20210114,Day 3,1,3,P. aeruginosa,100ng/mL LTA,5190.333333
11458,20210114,Day 3,1,4,P. aeruginosa,100ng/mL LTA,7332.333333
11458,20210114,Day 3,1,1,P. aeruginosa,Fungi alone,4757
11458,20210114,Day 3,1,2,P. aeruginosa,Fungi alone,6801.333333
11458,20210114,Day 3,1,3,P. aeruginosa,Fungi alone,4852
11458,20210114,Day 3,1,4,P. aeruginosa,Fungi alone,6409
11458,20210114,Day 3,1,1,P. aeruginosa,Autoclaved bacteria,6573.333333
11458,20210114,Day 3,1,2,P. aeruginosa,Autoclaved bacteria,7952
11458,20210114,Day 3,1,3,P. aeruginosa,Autoclaved bacteria,7211.666667
11458,20210114,Day 3,1,4,P. aeruginosa,Autoclaved bacteria,6438
11458,20210114,Day 3,1,1,S. aureus,0.1ng/mL LPS,23
11458,20210114,Day 3,1,2,S. aureus,0.1ng/mL LPS,11
11458,20210114,Day 3,1,3,S. aureus,0.1ng/mL LPS,7.666666667
11458,20210114,Day 3,1,4,S. aureus,0.1ng/mL LPS,28.33333333
11458,20210114,Day 3,1,1,S. aureus,100ng/mL LPS,11
11458,20210114,Day 3,1,2,S. aureus,100ng/mL LPS,7.666666667
11458,20210114,Day 3,1,3,S. aureus,100ng/mL LPS,10.33333333
11458,20210114,Day 3,1,4,S. aureus,100ng/mL LPS,9.333333333
11458,20210114,Day 3,1,1,S. aureus,0.1ng/mL LTA,18
11458,20210114,Day 3,1,2,S. aureus,0.1ng/mL LTA,27.33333333
11458,20210114,Day 3,1,3,S. aureus,0.1ng/mL LTA,7.666666667
11458,20210114,Day 3,1,4,S. aureus,0.1ng/mL LTA,13.66666667
